SITUAÇÃO;MARCA/MODELO;ANO/MODELO;COR;DATA DES;MES;
ROUBADO;CHEVROLET/COBALT 1.8 LTZ;2016;PRATA;17/01/2020 17:15:00;JANEIRO
ROUBADO;HONDA/CB 300R;2010;AMARELO;17/01/2020 18:00:00;JANEIRO
FURTADO;I/FIAT PALIO ESSENCE 1.6;0;BRANCO;17/01/2020 20:00:00;JANEIRO
FURTADO;CHEVROLET/COBALT 1.4 LTZ;0;BRANCO;17/01/2020 20:45:00;JANEIRO
ROUBADO;HONDA/CITY EX FLEX;2010;CINZA;17/01/2020 20:50:00;JANEIRO
FURTADO;FIAT/PALIO EDX;1997;AZUL;17/01/2020 23:40:00;JANEIRO
FURTADO;VW/GOL 1000I;1995;PRETA;18/01/2020 00:00:00;JANEIRO
FURTADO;GM/MONZA CLUB;1994;VERMELHO;18/01/2020 00:00:00;JANEIRO
FURTADO;GM/CORSA WIND;1996;CINZA;18/01/2020 00:00:00;JANEIRO
ROUBADO;GM/PRISMA MAXX;2010;VERDE;18/01/2020 06:50:00;JANEIRO
FURTADO;VW/FOX 1.6 GII;2014;BRANCO;18/01/2020 11:30:00;JANEIRO
FURTADO;VW/GOL 16V;1999;VERDE;18/01/2020 18:00:00;JANEIRO
ROUBADO;YAMAHA/YBR150 FACTOR E;2016;PRETA;18/01/2020 22:00:00;JANEIRO
ROUBADO;HONDA/CG 150 FAN ESI;2010;VERMELHO;18/01/2020 22:15:00;JANEIRO
FURTADO;FIAT/SIENA FIRE;2003;PRATA;18/01/2020 23:30:00;JANEIRO
ROUBADO;HONDA/CBX 250 TWISTER;2008;CINZA;19/01/2020 09:50:00;JANEIRO
FURTADO;I/PEUGEOT 307 16 FX PR;2007;CINZA;19/01/2020 11:30:00;JANEIRO
ROUBADO;CHEVROLET/S10 LTZ FD2;2013;BRANCO;19/01/2020 21:30:00;JANEIRO
FURTADO;I/CHEVROLET AGILE LTZ;2012;CINZA;19/01/2020 21:40:00;JANEIRO
FURTADO;RENAULT/KWID ZEN 10MT;0;PRATA;19/01/2020 22:00:00;JANEIRO
FURTADO;RENAULT/KWID ZEN 10MT;0;PRATA;19/01/2020 22:00:00;JANEIRO
FURTADO;FIAT/UNO MILLE BRIO;1991;CINZA;20/01/2020 00:00:00;JANEIRO
FURTADO;VW/GOL CL;1993;CINZA;20/01/2020 00:00:00;JANEIRO
FURTADO;FORD/VERONA GLX;1990;CINZA;20/01/2020 00:00:00;JANEIRO
FURTADO;VW/NOVA SAVEIRO CE;2014;PRETA;20/01/2020 00:30:00;JANEIRO
FURTADO;GM/CORSA WIND;2000;AZUL;20/01/2020 02:40:00;JANEIRO
ROUBADO;CHEVROLET/MONTANA LS;0;PRATA;20/01/2020 17:30:00;JANEIRO
FURTADO;YAMAHA/FACTOR YBR125 K;0;VERMELHO;20/01/2020 19:49:00;JANEIRO
FURTADO;PEUGEOT/208 ALLURE;0;BRANCO;20/01/2020 22:00:00;JANEIRO
FURTADO;HONDA/C100 BIZ ES;2000;AZUL;21/01/2020 00:00:00;JANEIRO
FURTADO;VW/NOVA SAVEIRO TL MBVS;2020;PRATA;21/01/2020 00:00:00;JANEIRO
FURTADO;VW/FOX CONNECT MB;2019;BRANCO;21/01/2020 08:00:00;JANEIRO
FURTADO;FORD/KA SE 1.0 HA B;2018;PRATA;21/01/2020 12:00:00;JANEIRO
FURTADO;CHEVROLET/ONIX 1.4MT LTZ;2015;PRATA;21/01/2020 15:00:00;JANEIRO
FURTADO;FORD/KA SE 1.0 HA B;0;BRANCO;21/01/2020 16:35:00;JANEIRO
ROUBADO;HYUNDAI/HB20S 1.6M COMF;2015;PRETA;21/01/2020 20:40:00;JANEIRO
FURTADO;VW/CROSSFOX;0;PRETA;21/01/2020 20:51:00;JANEIRO
FURTADO;HONDA/CG 150 TITAN KS;2005;VERMELHO;21/01/2020 21:00:00;JANEIRO
FURTADO;FIAT/PUNTO ATTRACTIVE;2016;BRANCO;21/01/2020 22:10:00;JANEIRO
FURTADO;VW/SAVEIRO GL;1990;VERDE;22/01/2020 00:00:00;JANEIRO
FURTADO;VW/30.280 CRM 8X2;2020;BRANCO;22/01/2020 00:00:00;JANEIRO
FURTADO;GM/CLASSIC LIFE;2008;PRETA;22/01/2020 06:00:00;JANEIRO
FURTADO;VW/FOX XTREME MB;2018;BRANCO;22/01/2020 06:00:00;JANEIRO
ROUBADO;FORD/CARGO 2428 E;2011;PRATA;22/01/2020 10:30:00;JANEIRO
FURTADO;VW/FOX 1.6 PRIME GII;2011;PRETA;22/01/2020 12:00:00;JANEIRO
FURTADO;RENAULT/MEGANEGT DYN 16;2012;PRATA;22/01/2020 12:00:00;JANEIRO
FURTADO;VW/30.280 CRM 8X2;2020;BRANCO;22/01/2020 17:00:00;JANEIRO
FURTADO;YAMAHA/XTZ250 LANDER;0;CINZA;22/01/2020 19:10:00;JANEIRO
FURTADO;YAMAHA/XTZ250 LANDER;0;CINZA;22/01/2020 19:10:00;JANEIRO
FURTADO;YAMAHA/XTZ250 LANDER;0;CINZA;22/01/2020 19:10:00;JANEIRO
FURTADO;I/FORD FOCUS 1.6L HA;0;PRATA;22/01/2020 22:30:00;JANEIRO
FURTADO;HONDA/CIVIC LXR;2014;CINZA;22/01/2020 23:45:00;JANEIRO
FURTADO;GM/KADETT GL;1996;VERMELHO;23/01/2020 00:00:00;JANEIRO
FURTADO;I/CHEVROLET AGILE LTZ;2012;VERDE;23/01/2020 00:00:00;JANEIRO
FURTADO;HONDA/CG150 FAN ESDI;2015;PRETA;23/01/2020 00:00:00;JANEIRO
FURTADO;HONDA/CG150 FAN ESDI;2015;PRETA;23/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/MOBI EASY;2018;PRATA;23/01/2020 00:00:00;JANEIRO
FURTADO;FIAT/MOBI EASY;2018;PRATA;23/01/2020 00:00:00;JANEIRO
ROUBADO;REB/ROSSETTI SRBA ST3.25;2001;AZUL;23/01/2020 01:00:00;JANEIRO
FURTADO;HONDA/POP 110I;2018;BRANCO;23/01/2020 03:49:00;JANEIRO
FURTADO;RENAULT/LOGAN AUT 1016V;2011;PRETA;23/01/2020 03:50:00;JANEIRO
FURTADO;FIAT/MOBI LIKE;0;PRETA;23/01/2020 04:50:00;JANEIRO
